"ii","Dim2","rr","Val"
"isr","nfm","ROW",0.202089262648317
"isr","fmp","USA",0.020876702747588
"isr","fmp","ROW",0.404164112764873
"isr","mvh","USA",0.317202330876529
"isr","mvh","ROW",0.75468068100572
"isr","otn","USA",0.0910399804731883
"isr","otn","ROW",0.320470370401452
"isr","ele","USA",0.269510103898289
"isr","ele","ROW",0.575271731941165
"isr","ome","USA",0.210090868217561
"isr","ome","ROW",1.34983818955221
"isr","omf","USA",0.0101087351219361
"isr","omf","ROW",0.288851807345997
"isr","ely","USA",0.408976052544605
"isr","ely","ROW",1.00722828190596
"isr","wtr","USA",0.383999045011141
"isr","wtr","ROW",1.0801481928454
"isr","cns","USA",2.2255653101588
"isr","cns","ROW",2.98931904858615
"isr","trd","USA",3.64197089346257
"isr","trd","ROW",5.53323096440905
"isr","otp","USA",1.13547744292244
"isr","otp","ROW",6.88613502331726
"isr","wtp","USA",0.0361274317691923
"isr","wtp","ROW",0.654482137684411
"isr","atp","USA",0.156901909778609
"isr","atp","ROW",0.931473483244511
"isr","cmn","USA",0.305002595488455
"isr","cmn","ROW",0.950979225114458
"isr","ofi","USA",1.69628734258872
"isr","ofi","ROW",2.64545275532011
"isr","c","USA",18.4021589352582
"isr","c","ROW",37.2452829995749
"isr","g","USA",4.90201923729391E-6
"isr","g","ROW",0.67081049261859
"isr","i","USA",8.30253357300948E-5
"isr","i","ROW",0.0583063255598771
"obs","isr","USA",4.07409089104586
"obs","isr","ROW",15.7332417726959
"obs","obs","USA",16.9538352647203
"obs","obs","ROW",149.205924552969
"obs","ros","USA",3.60986813466128
"obs","ros","ROW",16.7792712219715
"obs","osg","USA",18.1008938274109
"obs","osg","ROW",62.3506471295293
"obs","dwe","USA",0.092219371754324
"obs","dwe","ROW",2.20848133598671
"obs","pdr","USA",0.000127582352558136
"obs","pdr","ROW",0.14587063151622
"obs","wht","USA",0.00497524596660226
"obs","wht","ROW",0.482956333526307
"obs","gro","USA",0.0870376369593541
"obs","gro","ROW",0.427088071258508
"obs","v_f","USA",0.0620377664822096
"obs","v_f","ROW",1.16619780230424
"obs","osd","USA",0.0174112912306474
"obs","osd","ROW",0.276845935188028
"obs","c_b","USA",0.000463783868703003
"obs","c_b","ROW",0.0844564548943646
"obs","pfb","USA",0.0118137574212639
"obs","pfb","ROW",0.0823666912858342
"obs","ocr","USA",0.00163492517010795
"obs","ocr","ROW",0.867378518537985
"obs","ctl","USA",0.011128374386542
"obs","ctl","ROW",0.520557994205707
"obs","oap","USA",0.00095333029759262
"obs","oap","ROW",0.53166949376058
"obs","rmk","USA",0.0149422047652532
"obs","rmk","ROW",0.276137526959755
"obs","wol","ROW",0.109980639637327
"obs","frs","USA",0.0137611107662097
"obs","frs","ROW",0.567225535129486
"obs","fsh","USA",0.00329331497541786
"obs","fsh","ROW",0.610516103491764
"obs","coa","USA",0.0601656820697206
"obs","coa","ROW",0.754551667517363
"obs","oil","USA",0.412368339734367
"obs","oil","ROW",10.7302865046493
"obs","gas","USA",0.174258609343583
"obs","gas","ROW",1.70130977796732
"obs","omn","USA",0.00918396017206512
"obs","omn","ROW",3.14477676128748
"obs","cmt","USA",0.176480848956654
"obs","cmt","ROW",0.777799671530764
"obs","omt","USA",0.110262353450951
"obs","omt","ROW",1.10018107820846
"obs","vol","USA",0.00699390734052359
"obs","vol","ROW",0.496353606479503
"obs","mil","USA",0.174848339375259
"obs","mil","ROW",3.11627308488799
"obs","pcr","USA",0.000292064290472073
"obs","pcr","ROW",0.103928133451511
"obs","sgr","USA",0.00288137111705213
