"ii","Dim2","rr","Val"
"p_c","isr","USA",0.00851147715002298
"p_c","isr","ROW",0.380915328485912
"p_c","obs","USA",0.157046690583229
"p_c","obs","ROW",4.9262355027563
"p_c","ros","USA",0.423708438873291
"p_c","ros","ROW",1.8928797457005
"p_c","osg","USA",0.967142522335052
"p_c","osg","ROW",9.30412830938383
"p_c","dwe","USA",0.000365566462278366
"p_c","dwe","ROW",0.0055745161134837
"p_c","pdr","USA",0.0196308493614197
"p_c","pdr","ROW",0.935482608363316
"p_c","wht","USA",0.160811215639114
"p_c","wht","ROW",1.64435593103133
"p_c","gro","USA",0.301498711109161
"p_c","gro","ROW",1.57108848778523
"p_c","v_f","USA",0.298598498106003
"p_c","v_f","ROW",4.06664430758406
"p_c","osd","USA",0.0757621973752975
"p_c","osd","ROW",1.09942319282425
"p_c","c_b","USA",0.00809429585933685
"p_c","c_b","ROW",0.538395367858755
"p_c","pfb","USA",0.0310140606015921
"p_c","pfb","ROW",0.852695228707262
"p_c","ocr","USA",0.0736648291349411
"p_c","ocr","ROW",2.21662324477688
"p_c","ctl","USA",0.0461197942495346
"p_c","ctl","ROW",0.812030965942768
"p_c","oap","USA",0.098871186375618
"p_c","oap","ROW",0.781791920935973
"p_c","rmk","USA",0.0524723641574383
"p_c","rmk","ROW",0.701900740617191
"p_c","wol","ROW",0.329689466867876
"p_c","frs","USA",0.029054444283247
"p_c","frs","ROW",1.7491927552984
"p_c","fsh","USA",0.0183864906430244
"p_c","fsh","ROW",5.57624995801922
"p_c","coa","USA",0.000699786527547985
"p_c","coa","ROW",0.969603117476481
"p_c","oil","USA",0.000236840001889504
"p_c","oil","ROW",0.723112097578792
"p_c","gas","USA",0.00113583216443658
"p_c","gas","ROW",0.937511846667178
"p_c","omn","USA",0.0424676761031151
"p_c","omn","ROW",6.14378316181774
"p_c","cmt","USA",0.0442403554916382
"p_c","cmt","ROW",0.210693537037287
"p_c","omt","USA",0.0183857381343842
"p_c","omt","ROW",0.223896601124011
"p_c","vol","USA",0.0150384269654751
"p_c","vol","ROW",0.259793534015159
"p_c","mil","USA",0.0440942160785198
"p_c","mil","ROW",0.560078671878045
"p_c","pcr","USA",0.00739362230524421
"p_c","pcr","ROW",0.195647207410957
"p_c","sgr","USA",0.0149401808157563
"p_c","sgr","ROW",0.278239244332156
"p_c","ofd","USA",0.173978388309479
"p_c","ofd","ROW",2.49133658388308
"p_c","b_t","USA",0.0473092943429947
"p_c","b_t","ROW",1.25335980623731
"p_c","tex","USA",0.0499577336013317
"p_c","tex","ROW",1.67992147956915
"p_c","wap","USA",0.0179100446403027
"p_c","wap","ROW",0.424266688061721
"p_c","lea","USA",0.00496083404868841
"p_c","lea","ROW",0.278496664110662
"p_c","lum","USA",0.404596716165543
"p_c","lum","ROW",0.726559543053327
"p_c","ppp","USA",0.535556435585022
"p_c","ppp","ROW",2.73573135001425
"p_c","p_c","USA",14.4885683059692
"p_c","p_c","ROW",154.910121634799
"p_c","crp","USA",25.4900989532471
"p_c","crp","ROW",122.450880728633
"p_c","nmm","USA",0.758753001689911
"p_c","nmm","ROW",14.6246453469575
"p_c","i_s","USA",0.393039792776108
"p_c","i_s","ROW",17.0811361855795
"p_c","nfm","USA",0.0822387635707855
"p_c","nfm","ROW",3.63642335624354
"p_c","fmp","USA",0.0779252797365189
"p_c","fmp","ROW",2.02347934756745
"p_c","mvh","USA",0.0603061206638813
"p_c","mvh","ROW",0.702381421716893
"p_c","otn","USA",0.0443200618028641
"p_c","otn","ROW",0.357035092712067
"p_c","ele","USA",0.0392290055751801
"p_c","ele","ROW",0.914704452440731
"p_c","ome","USA",0.150666013360023
"p_c","ome","ROW",2.52603794013839
"p_c","omf","USA",0.0493650026619434
"p_c","omf","ROW",2.01484651036549
"p_c","ely","USA",3.80988311767578
"p_c","ely","ROW",68.9522601689878
"p_c","wtr","USA",0.122937902808189
"p_c","wtr","ROW",0.675069472109953
"p_c","cns","USA",0.0959862172603607
"p_c","cns","ROW",6.23063810438362
"p_c","trd","USA",0.660547614097595
"p_c","trd","ROW",9.54052918401862
"p_c","otp","USA",24.7263431549072
"p_c","otp","ROW",202.338826343766
"p_c","wtp","USA",2.71414852142334
"p_c","wtp","ROW",79.4034499645886
"p_c","atp","USA",13.8351516723633
"p_c","atp","ROW",93.3890581373125
"p_c","cmn","USA",0.0141872959211469
"p_c","cmn","ROW",1.13245857609002
"p_c","ofi","USA",0.0518183894455433
"p_c","ofi","ROW",0.925437275598767
"p_c","c","USA",24.7625846862793
"p_c","c","ROW",171.307399816345
"p_c","g","USA",6.84210463077761E-5
"p_c","g","ROW",0.000997316139205395
"ely","isr","USA",0.00594384036958218
"ely","isr","ROW",0.0751343736790773
"ely","obs","USA",0.0759080201387405
"ely","obs","ROW",1.59149204891742
"ely","ros","USA",0.169876620173454
"ely","ros","ROW",0.706173868188444
"ely","osg","USA",0.540834009647369
"ely","osg","ROW",4.49743558620594
"ely","dwe","USA",0.000133221168653108
"ely","dwe","ROW",0.000736537036061691
"ely","pdr","USA",2.94648743874859E-5
"ely","pdr","ROW",0.00450098539170085
"ely","wht","USA",0.000213268416700885
"ely","wht","ROW",0.0611633179197497
"ely","gro","USA",0.00423013605177402
"ely","gro","ROW",0.0439157495931113
"ely","v_f","USA",0.000383583072107285
"ely","v_f","ROW",0.192535614291558
"ely","osd","USA",0.000384489336283877
"ely","osd","ROW",0.0229780942904085
"ely","c_b","USA",2.88453011307865E-5
"ely","c_b","ROW",0.014493733141876
"ely","pfb","USA",0.000202723473194055
"ely","pfb","ROW",0.0294485605508044
"ely","ocr","USA",0.00232530734501779
"ely","ocr","ROW",0.11814898229693
"ely","ctl","USA",0.00408508162945509
"ely","ctl","ROW",0.0674556232113446
"ely","oap","USA",0.00986030511558056
"ely","oap","ROW",0.0878912627414365
"ely","rmk","USA",0.00620970455929637
"ely","rmk","ROW",0.0769157450154694
"ely","wol","ROW",0.0447814057380356
"ely","frs","USA",0.000155168527271599
"ely","frs","ROW",0.0324844204866395
"ely","fsh","USA",8.47985847940436E-6
"ely","fsh","ROW",0.0244102776443356
"ely","coa","USA",0.0120342252776027
"ely","coa","ROW",0.0901072339106008
"ely","oil","USA",0.00953592546284199
"ely","oil","ROW",0.0674382074605546
"ely","gas","USA",0.013922746758908
"ely","gas","ROW",0.0986193375917424
"ely","omn","USA",0.039852611720562
"ely","omn","ROW",0.718994349478066
"ely","cmt","USA",0.0166087560355663
"ely","cmt","ROW",0.0590762439322248
"ely","omt","USA",0.0118019208312035
"ely","omt","ROW",0.0946823106554575
"ely","vol","USA",0.000346408342011273
"ely","vol","ROW",0.0365733991500861
"ely","mil","USA",0.00728520797565579
"ely","mil","ROW",0.22478879668023
"ely","pcr","USA",1.18840516734053E-5
"ely","pcr","ROW",0.00718794815571755
"ely","sgr","USA",8.75809491844848E-5
"ely","sgr","ROW",0.0165760048873267
"ely","ofd","USA",0.0204574465751648
"ely","ofd","ROW",0.367796886932695
"ely","b_t","USA",0.00145495776087046
"ely","b_t","ROW",0.373371258430154
"ely","tex","USA",0.00992127880454063
"ely","tex","ROW",0.250676050416018
"ely","wap","USA",0.00531113147735596
"ely","wap","ROW",0.0880308575717095
"ely","lea","USA",8.39719432406127E-5
"ely","lea","ROW",0.0345988691741468
"ely","lum","USA",0.0125382030382752
"ely","lum","ROW",0.29451221052085
"ely","ppp","USA",0.067240335047245
"ely","ppp","ROW",1.48640085865418
"ely","p_c","USA",0.0642557442188263
"ely","p_c","ROW",0.919429967281587
"ely","crp","USA",0.151485115289688
"ely","crp","ROW",2.89538829611001
"ely","nmm","USA",0.0324146784842014
"ely","nmm","ROW",0.883590677355414
"ely","i_s","USA",0.0522992201149464
"ely","i_s","ROW",1.64330036966106
"ely","nfm","USA",0.0682302489876747
"ely","nfm","ROW",1.65167988462224
"ely","fmp","USA",0.0210288390517235
"ely","fmp","ROW",0.475055917275427
"ely","mvh","USA",0.0379708595573902
"ely","mvh","ROW",0.342573637151702
"ely","otn","USA",0.0160851664841175
"ely","otn","ROW",0.132169808346134
"ely","ele","USA",0.0383799262344837
"ely","ele","ROW",0.220582624700342
"ely","ome","USA",0.0310818459838629
"ely","ome","ROW",0.808786153009578
"ely","omf","USA",0.00113964581396431
"ely","omf","ROW",0.114961226840819
"ely","ely","USA",0.0970775559544563
"ely","ely","ROW",3.57886229259771
"ely","wtr","USA",0.0349617078900337
"ely","wtr","ROW",2.81253719451036
"ely","cns","USA",0.0337827317416668
"ely","cns","ROW",0.23597773378151
"ely","trd","USA",0.441934823989868
"ely","trd","ROW",2.88613108207051
"ely","otp","USA",0.0437746420502663
"ely","otp","ROW",0.73071879858594
"ely","wtp","USA",0.0041599371470511
"ely","wtp","ROW",0.0338302890503428
"ely","atp","USA",0.00733546866104007
"ely","atp","ROW",0.0575132123292974
"ely","cmn","USA",0.0266852509230375
"ely","cmn","ROW",0.404968732135842
"ely","ofi","USA",0.0612720996141434
"ely","ofi","ROW",0.3593243217299
"ely","c","USA",2.14938449859619
"ely","c","ROW",13.1359696787322
"ely","g","ROW",5.884003689971E-5
