"ii","jj","rr","ss","Val"
"wtp","lum","ROW","USA",4.70469596557075
"wtp","lum","ROW","ROW",7.59897505762856
"wtp","ppp","USA","ROW",1.80718997950462
"wtp","ppp","ROW","USA",1.67490060146531
"wtp","ppp","ROW","ROW",6.73413761516509
"wtp","p_c","USA","ROW",9.02124886933063
"wtp","p_c","ROW","USA",4.17371043799654
"wtp","p_c","ROW","ROW",26.7289730693209
"wtp","crp","USA","ROW",8.04156613155641
"wtp","crp","ROW","USA",7.63797565025091
"wtp","crp","ROW","ROW",42.5171664808666
"wtp","nmm","USA","ROW",0.564153313442773
"wtp","nmm","ROW","USA",2.19201279517979
"wtp","nmm","ROW","ROW",7.0635758496138
"wtp","i_s","USA","ROW",0.985752917583159
"wtp","i_s","ROW","USA",2.35485470326617
"wtp","i_s","ROW","ROW",12.4882358502632
"wtp","nfm","USA","ROW",0.443310747208307
"wtp","nfm","ROW","USA",0.572567697938765
"wtp","nfm","ROW","ROW",3.54142786577234
"wtp","fmp","USA","ROW",0.878985588893876
"wtp","fmp","ROW","USA",2.14077200070216
"wtp","fmp","ROW","ROW",5.97757079025106
"wtp","mvh","USA","ROW",1.59760079666146
"wtp","mvh","ROW","USA",4.74407451359113
"wtp","mvh","ROW","ROW",12.3178223126475
"wtp","otn","USA","ROW",0.307002891441574
"wtp","otn","ROW","USA",0.682110282935493
"wtp","otn","ROW","ROW",2.85042245495959
"wtp","ele","USA","ROW",0.223306355587905
"wtp","ele","ROW","USA",2.28846999583818
"wtp","ele","ROW","ROW",3.83854422037875
"wtp","ome","USA","ROW",3.17615052951802
"wtp","ome","ROW","USA",6.79128755821113
"wtp","ome","ROW","ROW",22.5976217575667
"wtp","omf","USA","ROW",0.272756392905023
"wtp","omf","ROW","USA",2.14227246103011
"wtp","omf","ROW","ROW",3.15017381195368
"atp","pdr","USA","ROW",0.00810284555034014
"atp","pdr","ROW","USA",0.000601782214769628
"atp","pdr","ROW","ROW",0.00171389143017586
"atp","wht","USA","ROW",0.139980358947942
"atp","wht","ROW","USA",0.0066310261694598
"atp","wht","ROW","ROW",0.173834744499531
"atp","gro","USA","ROW",0.219628960060072
"atp","gro","ROW","USA",0.00676126902084797
"atp","gro","ROW","ROW",0.124501183029788
"atp","v_f","USA","ROW",0.0451845463395002
"atp","v_f","ROW","USA",0.546375752722496
"atp","v_f","ROW","ROW",1.21094920336385
"atp","osd","USA","ROW",0.137082591002923
"atp","osd","ROW","USA",0.00205222192208748
"atp","osd","ROW","ROW",0.156490618485608
"atp","c_b","ROW","ROW",9.79022006504238E-7
"atp","pfb","USA","ROW",0.0246787772728712
"atp","pfb","ROW","USA",8.03685855353251E-5
"atp","pfb","ROW","ROW",0.0235950105874799
"atp","ocr","USA","ROW",0.0752962115429109
"atp","ocr","ROW","USA",0.209245440547879
"atp","ocr","ROW","ROW",0.655948377498656
"atp","ctl","USA","ROW",0.0229450811398565
"atp","ctl","ROW","USA",0.0156825549029163
"atp","ctl","ROW","ROW",0.111162847984408
"atp","oap","USA","ROW",0.0567485517159221
"atp","oap","ROW","USA",0.0239962797805783
"atp","oap","ROW","ROW",0.105289471574011
"atp","wol","ROW","USA",3.39325956301764E-5
"atp","wol","ROW","ROW",0.0188331963266828
"atp","frs","USA","ROW",0.0180865029963316
"atp","frs","ROW","USA",0.00505301625223365
"atp","frs","ROW","ROW",0.0762360821302863
"atp","fsh","USA","ROW",0.0736349551349413
"atp","fsh","ROW","USA",0.340143523424107
"atp","fsh","ROW","ROW",1.05390539776068
"atp","coa","USA","ROW",0.0396924421818694
"atp","coa","ROW","USA",0.000765489234821871
"atp","coa","ROW","ROW",0.304315418918559
"atp","oil","ROW","USA",0.18371423637605
"atp","oil","ROW","ROW",1.25223917455395
"atp","gas","USA","ROW",0.0593123420018819
"atp","gas","ROW","USA",0.000659955008071847
"atp","gas","ROW","ROW",0.18962596717925
"atp","omn","USA","ROW",0.365231107767555
"atp","omn","ROW","USA",0.2489796639501
"atp","omn","ROW","ROW",10.0187401496475
"atp","cmt","USA","ROW",0.0225250464862911
"atp","cmt","ROW","USA",0.00585699043842033
"atp","cmt","ROW","ROW",0.0942180615268298
"atp","omt","USA","ROW",0.0176875648226123
"atp","omt","ROW","USA",0.0175483514023363
"atp","omt","ROW","ROW",0.13612515028927
"atp","vol","USA","ROW",0.0360050203566789
"atp","vol","ROW","USA",0.010395843326929
"atp","vol","ROW","ROW",0.200882172049663
"atp","mil","USA","ROW",0.0488583301811596
"atp","mil","ROW","USA",0.0063477844412555
"atp","mil","ROW","ROW",0.154794992925075
"atp","pcr","USA","ROW",0.0118583335903822
"atp","pcr","ROW","USA",0.00159003028529696
"atp","pcr","ROW","ROW",0.134050302442512
"atp","sgr","USA","ROW",0.00256903498381143
"atp","sgr","ROW","USA",0.00317570524587063
"atp","sgr","ROW","ROW",0.105545034231676
"atp","ofd","USA","ROW",0.129111138546607
"atp","ofd","ROW","USA",0.364222920201195
"atp","ofd","ROW","ROW",0.866657583957362
"atp","b_t","USA","ROW",0.050941577425052
"atp","b_t","ROW","USA",0.160614216595131
"atp","b_t","ROW","ROW",0.208180517709058
"atp","tex","USA","ROW",0.188095643938461
"atp","tex","ROW","USA",0.528025573370163
"atp","tex","ROW","ROW",1.9839593582587
"atp","wap","USA","ROW",0.036343442436133
"atp","wap","ROW","USA",0.715950227240449
"atp","wap","ROW","ROW",1.81274868629681
"atp","lea","USA","ROW",0.027759946003207
"atp","lea","ROW","USA",0.260461317632056
"atp","lea","ROW","ROW",1.00577569623239
"atp","lum","USA","ROW",0.0613835959607968
"atp","lum","ROW","USA",0.18410103652731
"atp","lum","ROW","ROW",0.474928203019545
"atp","ppp","USA","ROW",0.564459955381521
"atp","ppp","ROW","USA",0.324460592766583
"atp","ppp","ROW","ROW",1.22895656356332
"atp","p_c","USA","ROW",0.171595466094033
"atp","p_c","ROW","USA",0.0417639237493277
"atp","p_c","ROW","ROW",0.682615315742384
"atp","crp","USA","ROW",3.21858959357254
"atp","crp","ROW","USA",3.3024487592933
"atp","crp","ROW","ROW",11.9787082112552
"atp","nmm","USA","ROW",0.246342208188376
"atp","nmm","ROW","USA",0.332735548896948
"atp","nmm","ROW","ROW",1.77916184518602
"atp","i_s","USA","ROW",0.252475663201651
"atp","i_s","ROW","USA",0.0928447068465757
"atp","i_s","ROW","ROW",1.67470348104177
"atp","nfm","USA","ROW",0.328603038086847
"atp","nfm","ROW","USA",0.323079268837173
"atp","nfm","ROW","ROW",1.54448531694023
"atp","fmp","USA","ROW",0.523193313640135
"atp","fmp","ROW","USA",0.459130920109223
"atp","fmp","ROW","ROW",1.75409533828968
"atp","mvh","USA","ROW",0.430485996408155
"atp","mvh","ROW","USA",0.253497244201077
"atp","mvh","ROW","ROW",1.60880415779707
"atp","otn","USA","ROW",0.371276734298735
"atp","otn","ROW","USA",0.307277410198876
"atp","otn","ROW","ROW",2.07478478798666
"atp","ele","USA","ROW",0.909637832877575
"atp","ele","ROW","USA",2.98029336785653
"atp","ele","ROW","ROW",8.04935202882621
"atp","ome","USA","ROW",4.07430155643541
"atp","ome","ROW","USA",4.626181397749
"atp","ome","ROW","ROW",15.5886638041788
"atp","omf","USA","ROW",0.158522303852136
"atp","omf","ROW","USA",0.478186694725999
"atp","omf","ROW","ROW",1.39080809749564
